상태,XML파일명,SQLID,SQL에러,실제파일경로
FIXED,TbAirRv100Mapper_Custom.xml,selectAirSaleStatisticsInfoDetail,"XML Parse Error: not well-formed (invalid token): line 18827",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirRv100Mapper_Custom/transform/TbAirRv100Mapper_Custom_tgt-158-select-selectAirSaleStatisticsInfoDetail.xml
FIXED,TbComCd200Mapper_Custom.xml,getTasfCommApplyUnitAmt,"XML Parse Error: not well-formed (invalid token): line 602",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/com/mybatis/mapper/TbComCd200Mapper_Custom/transform/TbComCd200Mapper_Custom_tgt-09-select-getTasfCommApplyUnitAmt.xml
FIXED,TbAirTk110EbyMapper_Custom.xml,selecInterfaceSchedulerIssuTk,"XML Parse Error: not well-formed (invalid token): line 69",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirTk110EbyMapper_Custom/transform/TbAirTk110EbyMapper_Custom_tgt-04-select-selecInterfaceSchedulerIssuTk.xml
FIXED,TbAirTp120Mapper_Custom.xml,selectBusinessPartnerEmployeesMemberShipInfo,"XML Parse Error: mismatched tag: line 159",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirTp120Mapper_Custom/transform/TbAirTp120Mapper_Custom_tgt-05-select-selectBusinessPartnerEmployeesMemberShipInfo.xml
FIXED,TbNvrFb600TmpMapper_Custom.xml,insertCombineFareTmp,"XML Parse Error: not well-formed (invalid token): line 37",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbNvrFb600TmpMapper_Custom/transform/TbNvrFb600TmpMapper_Custom_tgt-01-insert-insertCombineFareTmp.xml
FIXED,TbAirTk110Mapper_Custom.xml,selectOnlineResultStatisticsInfo,"XML Parse Error: not well-formed (invalid token): line 6165",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirTk110Mapper_Custom/transform/TbAirTk110Mapper_Custom_tgt-127-select-selectOnlineResultStatisticsInfo.xml
NOT_FOUND,TbComCd860Mapper_Custom.xml,unknown,"XML Parse Error: not well-formed (invalid token): line 88",N/A
FIXED,TbAirTk120Mapper_Custom.xml,insertCustom,"XML Parse Error: not well-formed (invalid token): line 796",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirTk120Mapper_Custom/transform/TbAirTk120Mapper_Custom_tgt-09-insert-insertCustom.xml
FIXED,TbAnoRv410Mapper_Custom.xml,selectDepositPromotionInfo,"XML Parse Error: mismatched tag: line 1437",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/com/mybatis/mapper/TbAnoRv410Mapper_Custom/transform/TbAnoRv410Mapper_Custom_tgt-08-select-selectDepositPromotionInfo.xml
FIXED,TbVofBd110Mapper_Custom.xml,getFareSeatInquireByCustomQuery,"XML Parse Error: not well-formed (invalid token): line 265",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/vof/mybatis/mapper/TbVofBd110Mapper_Custom/transform/TbVofBd110Mapper_Custom_tgt-03-select-getFareSeatInquireByCustomQuery.xml
FIXED,TbAirTk112Mapper_Custom.xml,insertCustom,"XML Parse Error: not well-formed (invalid token): line 227",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirTk112Mapper_Custom/transform/TbAirTk112Mapper_Custom_tgt-01-insert-insertCustom.xml
FIXED,TbAirRq300Mapper_Custom.xml,selectRefundRequestListVoidInfo,"XML Parse Error: not well-formed (invalid token): line 3030",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirRq300Mapper_Custom/transform/TbAirRq300Mapper_Custom_tgt-51-select-selectRefundRequestListVoidInfo.xml
FIXED,TbAirRv135EbyMapper_Custom.xml,selectPaymentList,"XML Parse Error: not well-formed (invalid token): line 77",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirRv135EbyMapper_Custom/transform/TbAirRv135EbyMapper_Custom_tgt-02-select-selectPaymentList.xml
FIXED,TbAirTk121Mapper_Custom.xml,insertCustom,"XML Parse Error: not well-formed (invalid token): line 99",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirTk121Mapper_Custom/transform/TbAirTk121Mapper_Custom_tgt-01-insert-insertCustom.xml
FIXED,TbNvrFb200Mapper_Custom.xml,insertEventSendFare_10g,"XML Parse Error: not well-formed (invalid token): line 353",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbNvrFb200Mapper_Custom/transform/TbNvrFb200Mapper_Custom_tgt-02-insert-insertEventSendFare_10g.xml
FIXED,TbAirTk111Mapper_Custom.xml,insertCustom,"XML Parse Error: not well-formed (invalid token): line 32",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirTk111Mapper_Custom/transform/TbAirTk111Mapper_Custom_tgt-01-insert-insertCustom.xml
FIXED,TbNvrPm100TmpMapper_Custom.xml,insertDefaultPromotion,"XML Parse Error: not well-formed (invalid token): line 19",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbNvrPm100TmpMapper_Custom/transform/TbNvrPm100TmpMapper_Custom_tgt-01-insert-insertDefaultPromotion.xml
NOT_FOUND,TbTaiFb100Mapper_Custom.xml,selectDiscountB2bFilter,"XML Parse Error: not well-formed (invalid token): line 3624",N/A
FIXED,TbAirEd130Mapper_Custom.xml,selectAccountRequestInfo,"XML Parse Error: mismatched tag: line 634",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirEd130Mapper_Custom/transform/TbAirEd130Mapper_Custom_tgt-09-select-selectAccountRequestInfo.xml
FIXED,TbAirTk310Mapper_Custom.xml,insertCustom,"XML Parse Error: not well-formed (invalid token): line 1071",/home/ec2-user/workspace/oracle-mod-ax/ibe-vof-trans/logs/application/mapper/air/mybatis/mapper/TbAirTk310Mapper_Custom/transform/TbAirTk310Mapper_Custom_tgt-06-insert-insertCustom.xml
